code,date,open,close,high,low,volume
SH.688122,2021-01-28 11:00:00,65.66,65.3,65.83,64.8,655000.0
SH.688122,2021-01-28 11:30:00,65.11,64.29,65.4,63.8,961200.0
SH.688122,2021-01-28 13:30:00,64.15,63.13,64.73,63.13,717400.0
SH.688122,2021-01-28 14:00:00,63.22,62.98,63.85,62.58,1138500.0
SH.688122,2021-01-28 14:30:00,63.0,62.83,63.8,62.64,834200.0
SH.688122,2021-01-28 15:00:00,63.0,62.99,63.1,62.28,1010400.0
SH.688122,2021-01-29 10:00:00,63.4,61.21,64.83,61.19,1786200.0
SH.688122,2021-01-29 10:30:00,61.2,61.16,61.3,59.31,1656900.0
SH.688122,2021-01-29 11:00:00,61.18,61.33,61.45,60.63,727200.0
SH.688122,2021-01-29 11:30:00,61.33,61.6,61.8,61.22,485300.0
SH.688122,2021-01-29 13:30:00,61.32,60.28,61.7,60.0,667000.0
SH.688122,2021-01-29 14:00:00,60.18,59.59,60.7,59.5,1087900.0
SH.688122,2021-01-29 14:30:00,59.56,59.44,60.12,58.8,1511500.0
SH.688122,2021-01-29 15:00:00,59.35,60.34,60.97,59.17,1069800.0
SH.688122,2021-02-01 10:00:00,60.0,61.11,62.0,60.0,806800.0
SH.688122,2021-02-01 10:30:00,61.38,60.55,61.84,60.51,538800.0
SH.688122,2021-02-01 11:00:00,60.56,60.06,60.67,59.6,751000.0
SH.688122,2021-02-01 11:30:00,59.97,59.32,60.48,58.89,775300.0
SH.688122,2021-02-01 13:30:00,59.4,59.2,60.73,59.08,1033300.0
SH.688122,2021-02-01 14:00:00,59.2,58.97,59.28,58.7,978900.0
SH.688122,2021-02-01 14:30:00,58.97,59.31,59.59,58.57,1015500.0
SH.688122,2021-02-01 15:00:00,59.31,59.45,59.54,59.06,639900.0
SH.688122,2021-02-02 10:00:00,59.75,59.58,60.06,58.2,1586200.0
SH.688122,2021-02-02 10:30:00,59.58,60.47,61.03,59.31,1080100.0
SH.688122,2021-02-02 11:00:00,60.49,61.13,61.48,60.47,643900.0
SH.688122,2021-02-02 11:30:00,61.14,61.19,61.19,60.64,371600.0
SH.688122,2021-02-02 13:30:00,61.2,64.0,64.5,61.2,1421900.0
SH.688122,2021-02-02 14:00:00,64.0,63.73,64.33,63.37,674200.0
SH.688122,2021-02-02 14:30:00,64.01,63.56,64.15,63.3,392900.0
SH.688122,2021-02-02 15:00:00,63.56,63.67,63.91,63.5,419400.0
SH.688122,2021-02-03 10:00:00,62.71,61.86,63.5,61.86,962100.0
SH.688122,2021-02-03 10:30:00,61.83,61.46,62.25,61.21,525600.0
SH.688122,2021-02-03 11:00:00,61.4,61.2,61.4,60.46,526600.0
SH.688122,2021-02-03 11:30:00,61.23,63.17,63.58,61.05,482400.0
SH.688122,2021-02-03 13:30:00,63.16,63.5,63.89,62.7,471600.0
SH.688122,2021-02-03 14:00:00,63.5,63.59,63.64,62.79,384600.0
SH.688122,2021-02-03 14:30:00,63.59,62.63,63.65,62.51,394700.0
SH.688122,2021-02-03 15:00:00,62.63,62.5,63.09,62.5,447200.0
SH.688122,2021-02-04 10:00:00,63.61,60.23,63.61,59.77,1285200.0
SH.688122,2021-02-04 10:30:00,60.23,59.2,60.88,58.98,703200.0
SH.688122,2021-02-04 11:00:00,59.03,58.25,59.54,57.9,990100.0
SH.688122,2021-02-04 11:30:00,58.26,58.43,59.45,58.0,438100.0
SH.688122,2021-02-04 13:30:00,58.5,58.29,59.0,57.72,534800.0
SH.688122,2021-02-04 14:00:00,58.34,58.76,58.8,57.9,442600.0
SH.688122,2021-02-04 14:30:00,58.8,59.25,59.66,58.5,255200.0
SH.688122,2021-02-04 15:00:00,59.25,58.82,59.49,58.63,274000.0
SH.688122,2021-02-05 10:00:00,60.02,59.47,60.02,58.75,649600.0
